City,State,Lat,Lng,ID
Santa Ana Chiautempan,Tlaxcala,19.3167,-98.1833,1484567035
San Francisco de los Romo,Aguascalientes,22.0833,-102.2667,1484352122
La Independencia,Chiapas,16.2526,-92.0237,1484210828
Tlalmanalco,México,19.2044,-98.8025,1484054902
Acaxochitlan,Hidalgo,20.1667,-98.2,1484005465
Santa Maria Huatulco,Oaxaca,15.85,-96.3333,1484007409
Guacharachi,Chihuahua,27.15,-107.3167,1484013438
Cuautepec de Hinojosa,Hidalgo,20.15,-98.4333,1484413126
Ciudad de Huajuapam de Leon,Oaxaca,17.8,-97.7667,1484375272
Montemorelos,Nuevo León,25.1872,-99.8267,1484813948
Tres Valles,Veracruz,18.1667,-96.0167,1484297361
Meoqui,Chihuahua,28.2722,-105.4819,1484867296
Jalacingo,Veracruz,19.8,-97.3,1484760292
Petatlan,Guerrero,17.5383,-101.2739,1484714363
Tlajomulco de Zuniga,Jalisco,20.4736,-103.4431,1484017493
Zongolica,Veracruz,18.6667,-97.0,1484604711
Ciudad Constitucion,Baja California Sur,25.0322,-111.6703,1484811681
Pedro Celestino Negrete,Durango,24.726,-102.984,1484247270
Loreto,Zacatecas,22.2667,-101.9833,1484384276
Actopan,Veracruz,19.5036,-96.6192,1484594634
Isla,Veracruz,18.0333,-95.5333,1484843047
Hueyapan de Ocampo,Veracruz,18.15,-95.15,1484670918
Villa de Zaachila,Oaxaca,16.9508,-96.7492,1484472329
Ocozocoautla de Espinosa,Chiapas,16.7625,-93.375,1484720187
Jesus Maria,Aguascalientes,21.9667,-102.35,1484096692
Tepalcatepec,Michoacán,19.1833,-102.85,1484817788
Atenco,México,19.5167,-98.9167,1484838122
Tecoanapa,Guerrero,16.8,-99.15,1484394496
Acatlan de Perez Figueroa,Oaxaca,18.5333,-96.6,1484695178
Jocotepec,Jalisco,20.2863,-103.4304,1484245726
Coyuca de Catalan,Guerrero,18.3256,-100.6992,1484460732
Santa Maria Atzompa,Oaxaca,17.1014,-96.7778,1484411990
Coyotepec,México,19.75,-99.1711,1484352296
Jaltipan de Morelos,Veracruz,17.9703,-94.7144,1484054405
Tezoyuca,México,19.5903,-98.9083,1484920679
Yajalon,Chiapas,17.1833,-92.3167,1484860213
Camargo,Chihuahua,27.667,-105.167,1484013592
Cihuatlan,Jalisco,19.25,-104.5667,1484019808
Heroica Ciudad de Tlaxiaco,Oaxaca,17.2077,-97.6798,1484201826
Zimapan,Hidalgo,20.7333,-99.3833,1484785009
Yecapixtla,Morelos,18.8833,-98.865,1484433908
Matias Romero,Oaxaca,16.8667,-95.0333,1484296757
Temascal,Oaxaca,18.2394,-96.4031,1484505986
Villa del Carbon,México,19.7272,-99.5417,1484004677
Apan,Hidalgo,19.7,-98.4333,1484086106
Playa Vicente,Veracruz,17.8333,-95.8167,1484068720
Axochiapan,Morelos,18.5,-98.75,1484424671
Nueva Rosita,Coahuila,27.9372,-101.2172,1484540557
